Continent,Product,Revenue
Europe,Product A,429.93
Europe,Product A,930.51
South America,Product A,521.76
Australia,Product B,946.64
Europe,Product A,581.6
Asia,Product C,885.11
Africa,Product A,578.85
Australia,Product A,1204.36
South America,Product B,420.55
Africa,Product B,506.25
Europe,Product B,521.33
Asia,Product C,718.67
Africa,Product B,494.38
Africa,Product A,377.66
Asia,Product C,526.76
North America,Product A,834.22
South America,Product B,459.83
North America,Product B,933.09
Africa,Product B,387.18
Europe,Product A,851.46
Europe,Product B,662.46
Africa,Product A,594.35
Asia,Product B,774.69
Europe,Product A,347.94
Australia,Product A,796.04
North America,Product B,1294.06
South America,Product A,524.88
North America,Product A,986.77
Australia,Product A,725.73
Africa,Product A,466.29
Africa,Product A,482.97
Australia,Product A,980.66
North America,Product B,901.53
Africa,Product C,430.17
North America,Product B,957.09
Africa,Product A,399.44
North America,Product B,1008.41
Australia,Product B,1222.24
Australia,Product A,1001.73
Australia,Product B,1207.81
Australia,Product A,1036.15
South America,Product A,410.33
North America,Product B,957.74
Asia,Product B,859.84
Europe,Product A,544.32
Australia,Product B,945.34
Australia,Product B,1073.72
North America,Product B,1039.64
Europe,Product B,332.7
Asia,Product C,568.18
Europe,Product C,598.46
Asia,Product C,1049.27
North America,Product B,732.3
North America,Product B,1054.61
Asia,Product C,743.48
Europe,Product A,524.24
Africa,Product A,640.72
North America,Product B,887.42
North America,Product B,1014.87
South America,Product A,286.27
Asia,Product C,707.56
North America,Product A,1086.81
Australia,Product C,1108.48
South America,Product C,432.49
North America,Product B,1026.8
North America,Product A,1397.16
Asia,Product B,1014.44
Africa,Product A,531.99
Africa,Product A,531.58
Europe,Product A,609.3
South America,Product B,399.38
Australia,Product B,817.18
Europe,Product A,671.82
Africa,Product B,402.44
Asia,Product C,816.3
Australia,Product B,874.91
North America,Product A,1176.28
North America,Product B,746.42
North America,Product A,672.23
Asia,Product C,582.82
North America,Product B,1174.81
Asia,Product C,865.74
North America,Product B,1224.76
Africa,Product A,537.75
Asia,Product C,1359.09
Asia,Product C,1037.3
Australia,Product B,902.37
South America,Product A,581.08
Africa,Product A,387.92
North America,Product C,679.79
Australia,Product B,1197.17
North America,Product B,1106.02
Australia,Product A,833.13
Australia,Product A,1222.53
Africa,Product A,453.52
Australia,Product C,760.07
Africa,Product A,563.53
Europe,Product A,784.77
Africa,Product A,395.94
Europe,Product B,576.44
North America,Product A,596.71
Europe,Product C,843.86
Europe,Product B,412.36
Australia,Product A,902.8
Africa,Product B,445.76
Asia,Product B,758.98
North America,Product B,1115.63
South America,Product A,521.83
Africa,Product B,469.08
North America,Product A,1489.23
Europe,Product B,727.96
Asia,Product C,882.43
South America,Product B,421.39
Europe,Product A,740.89
South America,Product A,723.64
South America,Product A,434.96
South America,Product A,557.3
Africa,Product A,464.14
North America,Product B,1017.87
Asia,Product C,393.25
Africa,Product A,587.32
Africa,Product A,391.61
Africa,Product A,603.45
Australia,Product A,985.88
South America,Product A,607.89
Europe,Product C,864.67
Australia,Product C,984.96
Asia,Product C,1167.09
Asia,Product B,893.09
Asia,Product C,787.97
Europe,Product B,772.31
North America,Product B,842.82
Europe,Product C,441.32
North America,Product B,1045.65
Africa,Product B,609.4
South America,Product A,523.8
Europe,Product A,464.54
Africa,Product A,422.08
North America,Product C,1133.14
Asia,Product C,802.09
Australia,Product B,739.05
Asia,Product C,848.8
Africa,Product A,463.02
South America,Product A,545.18
Europe,Product B,671.34
Europe,Product C,616.17
North America,Product A,946.02
South America,Product A,482.59
Europe,Product B,747.3
South America,Product A,417.26
Africa,Product A,564.33
Australia,Product A,626.43
Australia,Product A,1074.28
North America,Product A,1159.17
Australia,Product A,1067.95
Australia,Product B,1052.55
Australia,Product B,868.05
South America,Product A,535.79
Asia,Product C,854.99
South America,Product C,456.48
South America,Product A,624.17
Australia,Product A,1009.47
Australia,Product A,1117.04
Africa,Product A,664.61
Europe,Product B,410.84
South America,Product A,590.36
Asia,Product B,921.83
Europe,Product C,675.87
North America,Product A,707.51
North America,Product A,1199.02
North America,Product B,895.14
Asia,Product C,780.67
Africa,Product A,567.45
Australia,Product B,657.51
Asia,Product C,735.55
North America,Product B,952.29
South America,Product A,509.2
Asia,Product C,1313.78
Europe,Product A,603.85
North America,Product B,893.55
Europe,Product B,800.94
North America,Product B,1238.29
South America,Product A,416.48
South America,Product A,459.62
South America,Product A,720.57
South America,Product A,521.7
Europe,Product C,857.47
Australia,Product B,708.66
North America,Product B,1150.64
North America,Product B,660.94
Europe,Product B,598.49
Africa,Product A,478.71
South America,Product A,635.32
Africa,Product A,456.27
Europe,Product C,621.72
Africa,Product C,581.62
Asia,Product C,1000.48
North America,Product B,1102.28
Europe,Product A,612.52
Asia,Product C,690.81
North America,Product A,1176.34
Australia,Product B,707.28
Asia,Product C,595.7
Australia,Product B,1154.93
Asia,Product C,846.51
North America,Product B,1265.89
Europe,Product A,645.57
Africa,Product A,360.12
Australia,Product A,1237
South America,Product B,531.7
South America,Product A,487.56
Europe,Product B,613.12
Asia,Product C,786.17
Europe,Product B,1016.77
North America,Product B,935.78
South America,Product A,643.66
Australia,Product B,949.24
Asia,Product C,912.29
Asia,Product C,842.52
North America,Product B,1021.64
Africa,Product B,625.19
Australia,Product A,1025.89
North America,Product A,1140.27
Africa,Product A,428.8
Europe,Product B,711.71
Asia,Product B,526.17
South America,Product A,664.51
Australia,Product A,623.5
South America,Product B,321.99
Europe,Product B,506.67
Australia,Product A,1073.39
Australia,Product C,897.88
Africa,Product B,346.02
Africa,Product A,418.95
South America,Product A,575.29
Australia,Product B,893.32
Asia,Product B,768.22
North America,Product B,1367.59
Asia,Product B,585.53
Africa,Product A,494.05
Asia,Product C,1107.43
Europe,Product A,691.96
Africa,Product A,580.66
Europe,Product B,339.82
South America,Product A,440.3
Africa,Product A,581.81
Africa,Product A,523.8
North America,Product B,1180.21
North America,Product B,1116.18
Asia,Product C,723.88
Europe,Product C,400.27
North America,Product B,938.61
Europe,Product A,834.05
North America,Product B,1045.39
Asia,Product B,889.67
Europe,Product B,614.61
South America,Product A,400.15
Asia,Product C,908.4
Australia,Product B,1483.36
Australia,Product C,1137.02
Africa,Product A,342.35
Australia,Product B,956.39
Europe,Product C,648.43
Australia,Product B,1096.89
Asia,Product B,482.33
North America,Product B,1026.03
Asia,Product B,981.15
Asia,Product C,882.93
Africa,Product B,669.62
North America,Product A,967.44
Asia,Product C,723.62
Europe,Product B,591.27
South America,Product A,422.74
South America,Product A,562.97
Europe,Product C,578.09
North America,Product B,1098.27
Europe,Product A,676.84
Australia,Product C,966.36
Asia,Product C,814.52
Asia,Product C,1038.93
Australia,Product B,797.81
North America,Product A,934.88
North America,Product A,603.65
Europe,Product A,613.51
Africa,Product A,384.57
Africa,Product A,564.28
Europe,Product C,678.87
Asia,Product C,959.24
Europe,Product A,433.51
South America,Product A,587.64
Europe,Product B,796.67
Africa,Product A,454.53
Europe,Product A,779.13
Australia,Product A,1004.33
North America,Product A,1103
Africa,Product B,549.91
South America,Product A,509.8
Europe,Product B,686.14
Asia,Product B,858.54
North America,Product A,675.82
Africa,Product A,438.76
North America,Product B,1129.25
Asia,Product B,782.01
Europe,Product B,466.88
Asia,Product C,854.04
Australia,Product A,904.6
Africa,Product A,607.14
Europe,Product A,847.95
Europe,Product B,534.23
Australia,Product B,1070.58
Africa,Product A,468.23
Australia,Product A,983.35
Africa,Product A,424.35
Europe,Product A,767.99
Asia,Product C,743.52
Europe,Product A,700.34
Australia,Product A,917.37
North America,Product A,1148.36
Europe,Product B,761.93
Australia,Product C,1216.43
South America,Product B,512.31
North America,Product A,953.95
Africa,Product A,468.79
North America,Product A,1292.82
Australia,Product A,756.83
Asia,Product B,738.51
Europe,Product B,662.94
Australia,Product B,934.02
Australia,Product B,891.96
Asia,Product C,584.17
Asia,Product C,848.65
Asia,Product C,1044.4
North America,Product B,1075.43
Africa,Product B,413.09
Africa,Product C,441.07
Australia,Product B,851.78
North America,Product B,787.45
Asia,Product C,848.65
Australia,Product B,1161.81
Europe,Product A,521.91
Asia,Product B,800.63
Europe,Product C,692.4
Asia,Product C,822.35
Australia,Product C,736.21
North America,Product B,1045.73
Australia,Product B,1195.69
North America,Product A,1185.56
Europe,Product B,809.98
North America,Product B,1231.16
Europe,Product B,573.84
Asia,Product C,1198.72
Europe,Product A,787.2
Asia,Product B,412.58
Asia,Product C,640.27
South America,Product B,319.41
Europe,Product A,859.25
North America,Product A,1010.94
Europe,Product B,551.45
Europe,Product C,685.8
South America,Product B,474.63
Africa,Product B,483.19
Europe,Product A,477.79
Europe,Product C,1159.65
Europe,Product C,619.83
Australia,Product A,1076.07
Europe,Product C,811.78
Africa,Product A,418.92
Europe,Product A,584.36
North America,Product A,1146.97
Europe,Product B,585.07
South America,Product A,591.87
Asia,Product B,744.38
South America,Product A,442.43
Asia,Product C,638.87
Europe,Product C,544.68
Europe,Product B,593.2
North America,Product B,892.22
Africa,Product A,653.69
North America,Product C,853.17
Asia,Product B,872.34
South America,Product C,464.96
South America,Product A,505.2
South America,Product A,485.22
Australia,Product A,863.15
Australia,Product A,905.26
Europe,Product B,474.35
Asia,Product B,1150.85
Africa,Product B,471.97
South America,Product B,598.45
Africa,Product A,444.03
South America,Product B,630.61
South America,Product C,391
Asia,Product B,954.51
North America,Product B,761.45
North America,Product B,1160.31
North America,Product A,1086.33
South America,Product A,412.58
Europe,Product A,740.61
Europe,Product C,742.57
North America,Product A,1009.65
North America,Product A,1101.43
North America,Product B,974.81
North America,Product A,1243.79
South America,Product B,360.72
Asia,Product C,971.68
North America,Product A,1233.06
Asia,Product B,745.66
North America,Product B,889.63
South America,Product A,722.28
Africa,Product A,153.62
South America,Product B,436.52
Africa,Product A,768.13
South America,Product A,418.37
Europe,Product B,670.49
Asia,Product C,590.49
Asia,Product C,906.74
Europe,Product C,517.18
North America,Product A,1422.9
Asia,Product C,775.87
Europe,Product B,1008
Africa,Product B,485.79
Africa,Product A,530.03
Africa,Product B,568.3
Asia,Product B,838.22
North America,Product B,1109.52
Africa,Product A,413.6
North America,Product B,823.99
Asia,Product C,517.89
Europe,Product B,986.43
Africa,Product A,556.99
Australia,Product B,738.01
Europe,Product C,611.47
Asia,Product C,1122.41
Asia,Product B,855.62
Africa,Product A,624.1
Asia,Product C,875.28
South America,Product B,550.25
Europe,Product A,296.43
Europe,Product C,702.36
Africa,Product A,472.6
South America,Product A,375.94
Europe,Product B,816.3
Africa,Product B,716.67
Europe,Product B,713.92
Africa,Product A,619.2
North America,Product B,989.06
Europe,Product B,852.02
Africa,Product A,406.81
Australia,Product A,1081.39
North America,Product B,1154.49
Africa,Product A,353.7
Asia,Product B,723.52
Asia,Product C,971.62
Europe,Product A,708.39
Australia,Product B,1260.31
Australia,Product C,1053.65
Europe,Product B,952.34
Asia,Product C,882.16
North America,Product B,1139.07
Africa,Product A,427.27
North America,Product A,894.14
North America,Product B,931.42
Europe,Product B,218.59
Asia,Product B,661.29
Asia,Product B,871.27
Europe,Product B,497.94
North America,Product B,1191.24
Australia,Product B,1106.4
South America,Product A,378.98
Asia,Product B,1048.58
Europe,Product A,892.49
Australia,Product B,837.26
Australia,Product A,1127.69
North America,Product B,753.92
South America,Product A,551.83
Australia,Product B,1163.49
Africa,Product A,596.81
Europe,Product A,674.35
Asia,Product B,896.4
South America,Product A,462.69
Asia,Product C,591.5
South America,Product A,499.41
North America,Product B,1087.25
Africa,Product B,591.75
Asia,Product C,901.75
Asia,Product C,615.66
Australia,Product B,869.28
Asia,Product C,717.31
Asia,Product B,862.85
Australia,Product B,971.22
Asia,Product C,644.32
North America,Product B,895.7
Asia,Product B,241.85
Asia,Product C,1176.41
Australia,Product A,1044.54
South America,Product C,478.42
Europe,Product A,830.81
Europe,Product C,732.77
Australia,Product C,838.82
Africa,Product A,714.62
North America,Product B,797.29
Asia,Product C,1206.28
Africa,Product B,538.17
North America,Product B,1160.7
North America,Product B,1104.63
Asia,Product C,714.89
Australia,Product B,1123.66
South America,Product A,406.58
Asia,Product C,824.33
South America,Product B,398.45
Asia,Product C,734.67
South America,Product B,619.58
Australia,Product A,946.79
Europe,Product B,508.97
South America,Product B,383.81
North America,Product B,936.34
North America,Product B,1047.23
Europe,Product A,542.14
Asia,Product C,617.56
North America,Product A,1203.56
Europe,Product B,541.85
North America,Product B,912.81
Australia,Product B,966.68
Europe,Product A,639.77
Asia,Product B,1133.4
South America,Product A,474.47
South America,Product A,499.12
Europe,Product C,711.68
North America,Product B,1254.85
Africa,Product C,559.81
Australia,Product B,802.19
Africa,Product A,540.84
Australia,Product B,1183.39
Australia,Product A,1096.44
Europe,Product A,486.94
South America,Product A,433.3
North America,Product B,1068.06
Africa,Product B,407.57
Asia,Product C,992.76
South America,Product B,523.75
Africa,Product A,392.41
North America,Product A,1061.93
Europe,Product C,445.62
Africa,Product B,489.17
South America,Product B,575.87
North America,Product A,881.81
Australia,Product A,1091.29
Australia,Product B,1080.62
Australia,Product B,658.63
Africa,Product A,477.31
Africa,Product A,495.73
South America,Product B,448.7
South America,Product A,362.02
South America,Product A,558.8
Asia,Product B,553.59
Australia,Product B,1234.31
Europe,Product A,535.28
Europe,Product A,224.32
Asia,Product C,782.56
Africa,Product A,638.84
South America,Product A,558.08
Africa,Product A,719.66
South America,Product B,384.5
Europe,Product B,689.64
North America,Product A,1099.56
Asia,Product C,870.61
Australia,Product B,937.86
Africa,Product B,559.28
Australia,Product B,550.7
Asia,Product B,480.83
Europe,Product B,549.29
